Initial BitLen: 3 	 10 trials per BitLen 
BitLen 	 CPU time used 	 n 	 public key 	 private key
3 	 0.0 	 49 	 5 	 29
3 	 0.0 	 35 	 5 	 5
3 	 0.0 	 49 	 5 	 29
3 	 0.0 	 49 	 7 	 31
3 	 0.0 	 35 	 5 	 5
3 	 0.0 	 49 	 5 	 29
3 	 0.0 	 35 	 7 	 7
3 	 0.0 	 35 	 5 	 5
3 	 0.0 	 25 	 5 	 13
3 	 0.0 	 49 	 5 	 29
4 	 0.0 	 121 	 9 	 89
4 	 0.0 	 169 	 13 	 133
4 	 0.0 	 121 	 13 	 77
4 	 0.0 	 143 	 13 	 37
4 	 0.0 	 169 	 11 	 131
4 	 0.0 	 169 	 11 	 131
4 	 0.0 	 143 	 13 	 37
4 	 0.0 	 169 	 11 	 131
4 	 0.0 	 169 	 11 	 131
4 	 0.0 	 143 	 13 	 37
5 	 0.0 	 391 	 25 	 169
5 	 0.0 	 961 	 31 	 871
5 	 0.0 	 391 	 23 	 199
5 	 0.0 	 841 	 17 	 369
5 	 0.0 	 289 	 31 	 223
5 	 0.0 	 589 	 29 	 149
5 	 0.0 	 493 	 25 	 233
5 	 0.0 	 713 	 23 	 287
5 	 0.0 	 667 	 27 	 251
5 	 0.0 	 589 	 17 	 413
6 	 0.0 	 3721 	 49 	 1249
6 	 0.0 	 2419 	 41 	 1641
6 	 0.0 	 2809 	 59 	 275
6 	 0.0 	 1961 	 49 	 1681
6 	 0.0 	 2183 	 59 	 1451
6 	 0.0 	 1369 	 43 	 211
6 	 0.0 	 1517 	 43 	 67
6 	 0.0 	 2491 	 43 	 1947
6 	 0.0 	 1591 	 53 	 485
6 	 0.0 	 2021 	 59 	 131
7 	 0.0 	 12091 	 79 	 9167
7 	 0.0 	 11663 	 121 	 9745
7 	 0.0 	 12317 	 97 	 10849
7 	 0.0 	 10057 	 65 	 2881
7 	 0.0 	 12317 	 107 	 7235
7 	 0.0 	 9271 	 67 	 8395
7 	 0.0 	 5893 	 73 	 3617
7 	 0.0 	 6889 	 65 	 5793
7 	 0.0 	 6557 	 77 	 3821
7 	 0.0 	 7303 	 79 	 5143
8 	 0.0 	 26549 	 137 	 5933
8 	 0.0 	 35611 	 159 	 22375
8 	 0.0 	 33673 	 161 	 1241
8 	 0.0 	 21509 	 209 	 12689
8 	 0.0 	 50429 	 229 	 16369
8 	 0.0 	 32437 	 151 	 19543
8 	 0.0 	 44719 	 221 	 24453
8 	 0.0 	 32437 	 205 	 12361
8 	 0.0 	 41087 	 161 	 19961
8 	 0.0 	 37979 	 161 	 7937
9 	 0.0 	 121673 	 383 	 87167
9 	 0.0 	 71189 	 343 	 35431
9 	 0.0 	 162373 	 439 	 70663
9 	 0.0 	 119143 	 421 	 29821
9 	 0.0 	 76127 	 379 	 4387
9 	 0.0 	 125159 	 343 	 103015
9 	 0.0 	 152849 	 293 	 50861
9 	 0.0 	 111077 	 349 	 949
9 	 0.0 	 180197 	 269 	 62669
9 	 0.0 	 178667 	 407 	 62039
10 	 0.0 	 703009 	 745 	 690961
10 	 0.0 	 772883 	 881 	 459521
10 	 0.0 	 732857 	 983 	 165863
10 	 0.0 	 442081 	 883 	 120795
10 	 0.0 	 909827 	 947 	 391163
10 	 0.0 	 715721 	 989 	 233909
10 	 0.0 	 875053 	 521 	 382121
10 	 0.0 	 580579 	 933 	 556077
10 	 0.0 	 703009 	 617 	 605837
10 	 0.0 	 809639 	 769 	 660769
11 	 0.0 	 1451881 	 1913 	 286409
11 	 0.0 	 2990269 	 1207 	 970023
11 	 0.0 	 2421499 	 1621 	 1961821
11 	 0.0 	 2469977 	 1495 	 1607143
11 	 0.0 	 2058533 	 1459 	 470587
11 	 0.0 	 1545013 	 1057 	 202849
11 	 0.0 	 1656511 	 1913 	 1312409
11 	 0.0 	 3881477 	 1051 	 2021779
11 	 0.0 	 2549243 	 1907 	 887843
11 	 0.0 	 2566573 	 1467 	 1203923
12 	 0.015625 	 10908929 	 2503 	 6180715
12 	 0.0 	 8765623 	 2153 	 886937
12 	 0.0 	 10862977 	 2081 	 2911001
12 	 0.015625 	 8501699 	 2539 	 6354235
12 	 0.015625 	 9770297 	 4049 	 701729
12 	 0.015625 	 6589357 	 3281 	 2044901
12 	 0.0 	 7144957 	 2417 	 215633
12 	 0.0 	 12622157 	 3545 	 4355657
12 	 0.015625 	 10709087 	 4019 	 340859
12 	 0.0 	 13854383 	 2723 	 10333067
13 	 0.015625 	 33422111 	 4553 	 14991569
13 	 0.015625 	 31285057 	 6001 	 26713777
13 	 0.015625 	 49579553 	 5821 	 29878921
13 	 0.0 	 30808417 	 4255 	 5023111
13 	 0.015625 	 40913503 	 7953 	 32702841
13 	 0.015625 	 52142579 	 5233 	 46081537
13 	 0.015625 	 49571273 	 5977 	 42832873
13 	 0.015625 	 38354611 	 5615 	 15610031
13 	 0.03125 	 23339851 	 8181 	 11897469
13 	 0.015625 	 42036677 	 5105 	 31972385
14 	 0.03125 	 183177509 	 14551 	 131934631
14 	 0.03125 	 78350009 	 14731 	 14814595
14 	 0.03125 	 130731829 	 10237 	 100039273
14 	 0.03125 	 119442679 	 11125 	 76601053
