Initial BitLen: 5 	 4 trials per BitLen 
BitLen 	 CPU time used 	 n 	 public key 	 private key
5 	 0.0 	 589 	 19 	 199
5 	 0.0 	 527 	 17 	 113
5 	 0.0 	 667 	 23 	 375
5 	 0.0 	 961 	 31 	 871
6 	 0.0 	 2279 	 61 	 2005
6 	 0.0 	 2173 	 41 	 761
6 	 0.0 	 1961 	 43 	 1219
6 	 0.0 	 2491 	 63 	 1215
7 	 0.0 	 6059 	 77 	 2837
7 	 0.0 	 9523 	 123 	 6067
7 	 0.0 	 11663 	 115 	 7267
7 	 0.0 	 8051 	 67 	 235
8 	 0.0 	 44503 	 197 	 17453
8 	 0.0 	 38243 	 187 	 9715
8 	 0.0 	 31373 	 145 	 7057
8 	 0.0 	 27889 	 199 	 22571
9 	 0.0 	 122767 	 417 	 119129
9 	 0.0 	 189857 	 353 	 18737
9 	 0.0 	 155989 	 277 	 25213
9 	 0.0 	 111901 	 281 	 78377
10 	 0.015625 	 525223 	 601 	 149897
10 	 0.0 	 412043 	 733 	 230317
10 	 0.0 	 443623 	 813 	 138181
10 	 0.0 	 580003 	 929 	 103361
11 	 0.015625 	 3605177 	 1693 	 3435457
11 	 0.0 	 1897783 	 1673 	 416825
11 	 0.0 	 1121381 	 1103 	 693071
11 	 0.015625 	 3334259 	 1237 	 296173
12 	 0.0 	 10707793 	 2231 	 3674159
12 	 0.015625 	 10442279 	 2779 	 2414611
12 	 0.015625 	 9248891 	 2219 	 3011483
12 	 0.0 	 10589687 	 2749 	 9308869
13 	 0.03125 	 21510383 	 7309 	 8589829
13 	 0.03125 	 26935397 	 6347 	 19204223
13 	 0.015625 	 38192111 	 5791 	 3560191
13 	 0.046875 	 25654957 	 6821 	 5534253
14 	 0.046875 	 107074547 	 10693 	 22015405
14 	 0.078125 	 76183007 	 16049 	 73465169
14 	 0.046875 	 243261509 	 9299 	 6303743
14 	 0.046875 	 129742267 	 9049 	 65755489
15 	 0.125 	 531505339 	 19149 	 434597333
15 	 0.078125 	 1001054933 	 18685 	 936330301
